Cmdline: /data/bin/simpleperf record -p 19357 -o /sdcard/perf_19357.data --duration 360
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 754961
Event count: 347477464523

Children  Self   Command          Pid    Tid    Shared Object                                                                         Symbol
0.03%     0.03%  tutu.ABenchMark  19357  19357  [kernel.kallsyms]                                                                     __seccomp_filter
0.03%     0.03%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art_quick_lock_object
0.03%     0.03%  Thread-59        19357  21208  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.03%     0.03%  Thread-59        19357  21210  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.03%     0.03%  Thread-59        19357  21206  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.03%     0.03%  HeapTaskDaemon   19357  19368  [kernel.kallsyms]                                                                     lz4_decompress_unknownoutputsize
0.03%     0.03%  RenderThread     19357  19825  /vendor/lib64/egl/libGLESv2_adreno.so                                                 EsxRenderBucket::Reset()
0.03%     0.03%  Thread-59        19357  21207  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.03%     0.03%  Thread-59        19357  21205  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.03%     0.03%  Thread-59        19357  21127  [kernel.kallsyms]                                                                     free_hot_cold_page_list
0.03%     0.03%  Thread-59        19357  21127  [kernel.kallsyms]                                                                     clear_page
0.03%     0.03%  tutu.ABenchMark  19357  19357  [kernel.kallsyms]                                                                     cpu_switch_to
0.03%     0.03%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art::Monitor::MonitorEnter(art::Thread*, art::mirror::Object*, bool)
0.03%     0.03%  tutu.ABenchMark  19357  19357  [kernel.kallsyms]                                                                     __fdget
0.03%     0.03%  Thread-59        19357  21126  [kernel.kallsyms]                                                                     free_hot_cold_page_list
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a420]
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a3fc]
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+149fc4]
0.03%     0.03%  RenderThread     19357  19825  /vendor/lib64/egl/libGLESv2_adreno.so                                                 EsxCmdBuf::ReturnUsedMemoryToPool(int)
0.03%     0.03%  Thread-59        19357  20290  [kernel.kallsyms]                                                                     free_hot_cold_page_list
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a3f0]
0.03%     0.03%  RenderThread     19357  19825  /vendor/lib64/egl/libGLESv2_adreno.so                                                 EsxCmdMgr::Flush(EsxFlushReason)
0.03%     0.03%  RenderThread     19357  19825  /system/lib64/libhwui.so                                                              SkLiteDL::draw(SkCanvas*) const
0.03%     0.03%  RenderThread     19357  19825  /vendor/lib64/egl/libGLESv2_adreno.so                                                 EsxLinkedList::DeleteEntry(void*)
0.03%     0.03%  Thread-59        19357  20290  /system/lib64/libc.so                                                                 copy_long
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a44c]
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a030]
0.03%     0.03%  tutu.ABenchMark  19357  19357  /system/lib64/libart.so                                                               art::IndirectReferenceTable::Add(art::IRTSegmentState, art::ObjPtr<art::mirror::Object>, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.03%     0.03%  tutu.ABenchMark  19357  19357  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/oat/arm64/base.odex          com.nineoldandroids.animation.FloatKeyframeSet.getFloatValue
0.03%     0.03%  HeapTaskDaemon   19357  19368  /system/lib64/libart.so                                                               art::gc::collector::ConcurrentCopying::Copy(art::mirror::Object*, art::mirror::Object*, art::MemberOffset)
0.03%     0.03%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a3dc]
0.03%     0.03%  tutu.ABenchMark  19357  19357  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/oat/arm64/base.odex          com.nineoldandroids.animation.ValueAnimator.animationFrame
0.02%     0.02%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   libabenchmark.so[+14a41c]
0.02%     0.02%  Thread-59        19357  21127  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.02%     0.02%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.os.Handler.dispatchMessage
0.02%     0.02%  tutu.ABenchMark  19357  19357  [kernel.kallsyms]                                                                     el0_sys
